"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,24.7160517140028,5.91138977433703,6.06814531749045,19.2716633337115,14.3439377114256,18.8826061187874,7.40227284565616e-10,-1.77139953028867,1,0.000803162172871923,0.00024508891318251,0.00691945210228893,0.00370773077713084,0,0,0.00259647601841904,0.01,0.01,0.01,0.01,0.01,0.01,1.79788805246353,-4.43831172272969,0.9,0.000134542439958192,0.000162053889259423
2,31.7722874205678,5.97398183622355,6.18664793068332,18.5470518993957,14.346368315497,18.1306893882906,1.42585167841033e-09,-1.57945802133442,1,0.00108967858695588,0.000258287555228874,0.00560856495469113,0.00305693865874927,0,0,0.00254219691790307,0.01,0.01,0.01,0.01,0.01,0.01,2.02526850700378,-4.67336819508165,0.9,0.000143090676224182,0.000144241115631654
3,39.267793428826,6.03572573282455,6.16828562898805,18.2187257271136,14.3386251046691,17.8262827174799,8.35421115695736e-10,-1.50889675485554,1,0.00112610531847002,0.000332800920548259,0.00583811918415964,0.00302507002958275,0,0,0.00291535007799394,0.01,0.01,0.01,0.01,0.01,0.01,1.82848010063171,-4.6059861234676,0.9,0.00014973403286794,0.000149316705393472
4,43.39427966575,6.05847078654761,6.15368345535388,18.2883996580799,14.3411013888861,17.9425834522992,7.07490344113141e-10,-1.76098364079174,0.884163508,0.00100173465968628,0.00032356201860777,0.00656621977559519,0.00337162960376076,0,0,0.00310015928978772,0.01,0.01,0.01,0.01,0.01,0.01,1.61069722175598,-4.68997998296629,0.9,0.000104611450765777,0.00013969365172253
5,47.7481520417293,6.07076738114251,6.11850579296917,18.6949232147671,14.342724942023,18.414097809598,3.51191000571605e-10,-3.49458375394494,0.607671289,0.000685574369692394,0.000220644341339192,0.00668561894821134,0.00333545130997341,0,0,0.00329202603304535,0.01,0.01,0.01,0.01,0.01,0.01,1.48506883382797,-4.6916274112122,0.9,0.00011429799103455,9.8495559607307e-05
6,47.8748057793977,6.07858324542181,6.06088104218712,19.315949427964,14.3399371669422,19.1223289745156,2.18450700550194e-10,-4.74708833549221,0.446021763,0.000566794995710729,0.000216087696608592,0.00675180786796527,0.00361747662035569,0,0,0.00319191436156625,0.01,0.01,0.01,0.01,0.01,0.01,1.37739733457565,-4.69183833272494,0.9,0.000115217955879251,0.000111705085619783
7,46.8532102584166,6.05818710337856,6.03870090951434,20.0027958989731,14.3362625731144,19.8508964646783,1.85285502000756e-10,-4.76398758962003,0.411451011,0.000781267112319349,0.000205505743948035,0.00646174843103171,0.00349740070485921,0,0,0.00354950651530215,0.01,0.01,0.01,0.01,0.01,0.01,1.49672685861588,-4.69056323545256,0.9,0.000182263719484752,0.000105015148982388
8,45.9757631328177,6.00516686509957,5.99893288948336,20.6185822277861,14.3223770732237,20.3205540828388,2.24230009815952e-10,-4.86903874128134,0.476442673,0.000672547448034401,0.000164943344897171,0.00684586100384074,0.0035084372955812,0,0,0.00369987246498554,0.01,0.01,0.01,0.01,0.01,0.01,1.43285087347031,-4.68929376727291,0.9,0.000161261029016254,7.30474839109263e-05
9,41.1226375781082,5.98566332752571,5.9906150363759,21.1253610195126,14.3184701590775,20.7106989970747,5.15185695665235e-10,-4.91969116713969,0.639261454,0.000478032731979185,0.000178602786239989,0.00724132299718929,0.00429944884840746,0,0,0.00354721908253646,0.01,0.01,0.01,0.01,0.01,0.01,1.29696410894394,-4.69201384869268,0.9,0.000117079521144506,0.000110569464513621
10,33.7187173261668,5.96245215330815,6.04863490393217,21.3479375326659,14.3155980751041,20.8795342764197,1.37651948682019e-09,-4.922535729745,0.922987598,0.000527269941993184,0.000144449056078871,0.00758687009184938,0.00471823273997803,0,0,0.00344680439566258,0.01,0.01,0.01,0.01,0.01,0.01,1.41946065425873,-4.69315255583931,0.9,0.000138219185525408,0.000117381969577096
11,26.6035974897666,5.94068138573835,6.08909582652977,21.032087540796,14.3109262105329,20.6628196000752,1.41613543093824e-09,-4.91153577418911,1,0.000521880602726098,0.000154822386824094,0.00786499792555921,0.00511651063775254,0,0,0.00290213419860756,0.01,0.01,0.01,0.01,0.01,0.01,1.76881098747253,-4.69387467575762,0.9,9.2803743750764e-05,0.000154514836334009
12,22.7560456443148,5.87710712483251,6.0491820296399,20.3367335101362,14.3239436310057,19.9858862712718,9.13449441005122e-10,-3.01982845219141,1,0.000318954776645075,0.000253679317373436,0.00784827374120652,0.00502949214919168,0,0,0.00253435387308606,0.01,0.01,0.01,0.01,0.01,0.01,1.74537638425827,-4.69833342034701,0.9,4.88806980286816e-05,0.000226754022861166
